t,mean,lwr,upr,mean_baseline,lwr_baseline,upr_baseline,mean_smooth,lwr_smooth,upr_smooth,mean_baseline_smooth,lwr_baseline_smooth,upr_baseline_smooth,test
2.125,0.265,0,1,0.747,0,2,0.27334678182411404,0,1.02349146332169,0.7530596688022759,0,2.0299147327786233,rapid
2.0833333333333335,0.264,0,1,0.756,0,2,0.26334450139555776,0,0.9867267019906538,0.7525959639918833,0,2.030861956828394,rapid
2.041666666666667,0.257,0,1,0.747,0,2,0.2539775790807134,0,0.9589254323857763,0.7521467203050745,0,2.0316849535433965,rapid
2,0.253,0,1,0.754,0,2,0.24505165803448092,0,0.9483667258403902,0.7517096795191047,0,2.0324121097015406,rapid
1.9583333333333335,0.227,0,1,0.736,0,2,0.23619470287091773,0,0.9532240569136794,0.751282583411229,0,2.033071812080736,rapid
1.9166666666666667,0.201,0,1,0.705,0,2,0.2275252641483287,0,0.9618298880292376,0.7508631737587028,0,2.0336924474588938,rapid
1.875,0.218,0,1,0.754,0,2,0.21916189242501882,0,0.9625166816106593,0.7504491923387812,0,2.034302402613924,rapid
1.8333333333333335,0.248,0,1,0.78,0,2,0.21120162367978315,0,0.9616038166436853,0.750082947720636,0,2.03482457378066,rapid
1.7916666666666667,0.202,0,1,0.761,0,2,0.2035985702329157,0,0.9697654503490218,0.749796234109921,0,2.0351763414173574,rapid
1.75,0.201,0,1,0.795,0,3,0.19625689715497055,0,0.9818662125027106,0.7495710217386159,0,2.0353778186370577,rapid
1.7083333333333335,0.204,0,1,0.735,0,2,0.1890807695165018,0,0.9927707328807924,0.7493892808386999,0,2.0354491185528008,rapid
1.6666666666666667,0.181,0,1,0.801,0,2,0.18197435238806337,0,0.9973436412593093,0.7492329816421517,0,2.035410354277627,rapid
1.625,0.173,0,1,0.712,0,2,0.1748852677589837,0,0.9975848191392266,0.7490840943809507,0,2.0352816389245785,rapid
1.5833333333333335,0.157,0,1,0.723,0,2,0.16788674286529215,0,0.9985113409265506,0.7489245892870763,0,2.0350830856066953,rapid
1.5416666666666667,0.153,0,1,0.725,0,2,0.16107135064759415,0,0.9995136257548836,0.7487364365925075,0,2.0348348074370186,rapid
1.5,0.166,0,1,0.753,0,2,0.1545316640464952,0,0.9999820927578276,0.7485016065292235,0,2.034556917528589,rapid
1.4583333333333335,0.136,0,1,0.729,0,2,0.14814161257084227,0,0.9999829083706083,0.7482357697685801,0,2.034017480594398,rapid
1.4166666666666667,0.133,0,1,0.754,0,2,0.1417887228427596,0,0.9999872185241165,0.7479668930882808,0,2.0330679924926143,rapid
1.375,0.143,0,1,0.76,0,2,0.1355859634727686,0,0.9999929115954516,0.7476953908798268,0,2.031853713054044,rapid
1.3333333333333335,0.127,0,1,0.737,0,2,0.12964630307139086,0,0.999997875961713,0.747421677534719,0,2.0305199021094955,rapid
1.2916666666666667,0.126,0,1,0.756,0,2,0.12408271024914772,0,1.0000000000000002,0.747146167444458,0,2.029211819489773,rapid
1.25,0.109,0,1,0.746,0,2,0.11896120862816954,0,1.00133963773016,0.7468692750005449,0,2.0280747250256845,rapid
1.2083333333333335,0.131,0,1,0.77,0,2,0.11418505547826029,0,1.0042028965392873,0.7465914145944806,0,2.0272538785480356,rapid
1.1666666666666667,0.109,0,1,0.754,0,2,0.10962306988145186,0,1.006856294855354,0.7463130006177661,0,2.0268945398876337,rapid
1.125,0.097,0,1,0.755,0,2,0.10514407091977626,0,1.0075663511063324,0.7460344474619021,0,2.0271419688752847,rapid
1.0833333333333335,0.115,0,1,0.767,0,2,0.10097206755036012,0,1.014203512037784,0.7457646879658386,0,2.0277221238901104,rapid
1.0416666666666667,0.088,0,1,0.716,0,2,0.09728046510826083,0,1.0304395662839279,0.7455082789457306,0,2.0282818693444677,rapid
1,0.094,0,1,0.766,0,2,0.09386217724240664,0,1.0482430451057243,0.7452590707588859,0,2.0288478241190226,rapid
0.9583333333333335,0.079,0,1,0.735,0,2,0.09051011760172578,0,1.0595824797641324,0.7450109137626126,0,2.029446607094437,rapid
0.916666666666667,0.088,0,1,0.745,0,2,0.08701719983514647,0,1.0564264015201124,0.7447576583142189,0,2.030104837151374,rapid
0.875,0.08,0,1,0.733,0,2,0.08348389159019838,0,1.044274417980231,0.7444931547710129,0,2.030849133170499,rapid
0.8333333333333335,0.089,0,1,0.753,0,2,0.08011593475438511,0,1.031322161533696,0.7442112534903027,0,2.0317061140324735,rapid
0.791666666666667,0.082,0,1,0.75,0,2,0.07686415433659548,0,1.0135822006154265,0.7439058048293963,0,2.032702398617963,rapid
0.75,0.079,0,1,0.738,0,2,0.07367937534571839,0,0.9870671036603418,0.7435706591456017,0,2.0338646058076293,rapid
0.7083333333333335,0.074,0,1,0.738,0,2,0.07058244013401477,0,0.9517311815770971,0.7432140367189324,0,2.0351214402778286,rapid
0.666666666666667,0.062,0,1,0.732,0,2,0.06761693782543975,0,0.910802960392412,0.7428480179854728,0,2.036399066479726,rapid
0.625,0.069,0,1,0.791,0,2.0499999999999545,0.06476781358642358,0,0.8652063312183039,0.7424722435366375,0,2.037720292956202,rapid
0.5833333333333335,0.057,0,1,0.735,0,2,0.06202001258339668,0,0.8158651851667906,0.742086353963841,0,2.039107928250136,rapid
0.541666666666667,0.063,0,1,0.714,0,2,0.05935847998278928,0,0.7637034133498894,0.7416899898584977,0,2.0405847809044073,rapid
0.5,0.052,0,1,0.734,0,2,0.056797550767862304,0,0.7087004032074078,0.7412827918120226,0,2.0421736594618958,rapid
0.4583333333333335,0.062,0,1,0.665,0,2,0.05435368675871826,0,0.649921265816812,0.7408644004158299,0,2.0438973724654814,rapid
0.41666666666666696,0.052,0,1,0.733,0,2,0.05201502337704963,0,0.5869184777466037,0.7404344562613345,0,2.0457787284580435,rapid
0.375,0.046,0,0,0.765,0,2,0.04976969604454892,0,0.5192445155652844,0.7399925999399506,0,2.0478405359824623,rapid
0.3333333333333335,0.044,0,0,0.716,0,2,0.04761921358211715,0,0.4470227736756395,0.7395372227752113,0,2.0501039668180137,rapid
0.29166666666666696,0.043,0,0,0.808,0,3,0.045572734595236655,0,0.37060618237073073,0.7390676496495405,0,2.0525623837267393,rapid
0.25,0.05,0,0.049999999999954525,0.725,0,2,0.04362986918247213,0,0.28989152205447827,0.7385849214926902,0,2.055196881725671,rapid
0.20833333333333348,0.033,0,0,0.753,0,2,0.04179022744238827,0,0.20477557313080463,0.7380900792344118,0,2.057988555831837,rapid
0.16666666666666696,0.043,0,0,0.771,0,2,0.040053419473549755,0,0.11515511600362988,0.7375841638044572,0,2.0609185010622673,rapid
0.125,0.042,0,0,0.769,0,2,0.038415181428070364,0,0.020988632804038523,0.7370682161325781,0,2.063967812433992,rapid
0.08333333333333348,0.042,0,0,0.744,0,2,0.03687449321130244,0,-0.07762368006436457,0.7365432771485261,0,2.067117584964041,rapid
0.04166666666666696,0.036,0,0,0.711,0,2,0.03543583055166843,0,-0.1805724707888834,0.736010387782053,0,2.0703489136694437,rapid
-0,0.029,0,0,0.697,0,2,0.03410366917759076,0,-0.28774838755682214,0.7354705889629102,0,2.07364289356723,rapid
